AN_RECENS;DEP_RES_22;DEP_NAIS;DEP_TRA_22;DEP_RAN_22;REG_RES_22;REG_NAIS;REG_TRA_22;REG_RAN_22;AGE_REV;SEXE;STAT_CONJ;NATIO;DIPL;TYP_ACT;NES4;CSP;POND
1975;72;14;***;72;52;28;**;52;33;1;2;000;3;6;9;9;5.0
2020;59;59;59;59;32;32;32;32;24;2;6;000;0;1;4;5;47.2825416557
1990;69;92;***;92;84;11;**;11;15;2;1;000;*;3;9;9;8.0
1982;60;99;***;60;32;99;**;32;17;1;1;000;*;3;9;9;20.0
1999;974;99;974;67;4;99;04;44;45;1;2;001;6;1;4;3;1.0
2014;31;31;31;31;76;76;76;76;44;1;A;000;C;1;3;4;15.3790866646
1990;23;23;***;03;75;75;**;84;14;1;1;000;*;3;9;9;4.0
2009;81;12;81;XX;76;76;76;XX;57;2;2;000;6;1;4;3;3.8220544823
2020;17;60;79;17;75;32;75;75;39;1;2;000;6;1;4;2;5.42900773
1968;69;38;69;69;84;84;84;84;31;1;2;000;7;1;3;3;4.0
1990;62;62;59;59;32;32;32;32;43;1;2;000;0;1;2;6;4.0
2020;60;95;75;60;32;11;11;32;35;1;1;000;4;1;4;4;5.0
2009;78;54;75;XX;11;44;11;XX;53;1;3;000;3;1;4;2;3.9874081847
1990;49;94;***;53;52;11;**;52;7;1;1;000;*;6;9;9;4.0
1982;75;93;***;21;11;11;**;27;18;1;1;000;0;6;9;9;4.0
2020;4;27;***;04;93;28;**;93;54;2;1;000;3;2;9;5;5.0
1982;13;99;***;99;93;99;**;99;3;1;1;1ES;*;6;9;9;8.0
1975;93;61;***;93;11;28;**;11;14;2;1;000;*;6;9;9;10.0
1968;21;71;21;21;27;27;27;27;54;1;2;000;3;1;4;4;4.0
1990;69;85;69;92;84;52;84;11;39;2;2;000;4;1;4;5;4.0
2020;6;78;***;06;93;11;**;93;62;2;3;000;4;5;9;8;2.580666298
2020;91;91;***;91;11;11;**;11;66;2;2;000;4;5;9;8;46.1145412375
1975;13;99;***;99;93;99;**;99;3;1;1;3TN;*;6;9;9;15.0
2009;92;76;92;XX;11;28;11;XX;49;2;1;000;5;1;4;5;3.724634599
2009;60;21;***;XX;32;27;**;XX;63;2;1;000;5;5;9;8;3.9999789604
2014;62;60;62;62;32;32;32;32;65;1;A;000;D;1;4;3;2.9449516909
2014;27;95;14;27;28;11;28;28;32;2;B;000;C;1;4;4;3.9530347205
1975;84;30;84;84;93;76;93;93;46;1;2;000;0;1;4;5;5.0
1982;92;51;92;75;11;44;11;11;29;1;1;000;6;1;4;3;4.0
2020;75;80;92;75;11;32;11;11;27;2;1;000;6;1;4;3;3.6337944293
2009;7;42;***;XX;84;84;**;XX;80;2;3;000;6;5;9;8;1.0510687629
2009;91;25;91;XX;11;27;11;XX;35;1;1;000;6;1;4;3;4.0195144339
2020;971;74;971;971;1;84;01;01;38;1;2;000;6;1;4;4;2.8733723717
2014;77;08;***;77;11;44;**;11;80;1;A;000;C;5;9;8;4.1130803251
1968;28;61;28;61;24;28;24;28;23;1;2;000;3;1;3;6;4.0
