Année,PIB_en_euros_par_habitant,Code_INSEE_Région
2000,17738,94
2001,18524,94
2002,18746,94
2003,19276,94
2004,19937,94
2005,20822,94
2006,21940,94
2007,22162,94
2008,23909,94
2009,24331,94
2010,24317,94
2011,25319,94
2012,25426,94
2013,25503,94
2014,25612,94
2015,26203,94
2016,26260,94
2017,26898,94
2018,27686,94
2019,28156,94
2020,26161,94
2021,29059,94
2022,29260,94
