CODE_DEP,Année,Espérance_Vie_Homme,Espérance_Vie_Femme
10,2005,75.8,83.3
10,2006,76.3,83.8
10,2007,76.5,83.7
10,2008,76.5,83.9
10,2009,76.8,83.3
10,2010,77.2,83.8
10,2011,77.2,84.3
10,2012,77.4,84.2
10,2013,77.6,83.9
10,2014,78.5,84.9
10,2015,78.5,84.0
10,2016,78.1,84.8
10,2017,78.4,84.3
10,2018,77.9,84.8
10,2019,78.1,84.5
10,2020,77.6,84.5
10,2021,77.6,84.7
10,2022,78.5,84.7
11,2000,75.6,83.6
11,2001,75.8,82.7
11,2002,75.5,83.5
11,2003,76.4,83.3
11,2004,77.0,83.8
11,2005,77.4,83.0
11,2006,77.7,83.8
11,2007,77.5,84.2
11,2008,77.8,84.4
11,2009,77.8,84.3
11,2010,77.7,84.6
11,2011,78.5,84.6
11,2012,77.9,84.4
11,2013,78.5,85.0
11,2014,78.6,85.4
11,2015,78.7,85.2
11,2016,78.3,84.7
11,2017,78.8,85.0
11,2018,78.7,84.5
11,2019,79.9,85.2
11,2020,79.1,85.0
11,2021,78.0,84.5
11,2022,78.0,84.9
12,2000,77.3,83.7
12,2001,76.7,83.7
12,2002,77.2,84.0
12,2003,77.1,83.0
12,2004,78.6,84.5
12,2005,77.9,83.7
12,2006,78.9,83.6
12,2007,78.8,84.8
12,2008,78.5,84.5
12,2009,79.5,85.1
12,2010,78.8,85.2
12,2011,79.6,84.8
12,2012,79.3,85.5
12,2013,79.7,84.6
12,2014,79.3,86.5
12,2015,80.1,85.4
12,2016,79.7,85.9
12,2017,80.0,85.7
12,2018,80.3,86.2
12,2019,81.3,85.9
12,2020,80.9,86.0
12,2021,80.3,86.0
12,2022,79.9,85.9
13,2000,75.4,82.6
13,2001,76.0,83.1
13,2002,76.1,82.8
13,2003,76.2,82.9
13,2004,76.9,83.8
13,2005,77.2,83.8
13,2006,77.6,84.4
13,2007,77.9,84.4
13,2008,78.0,84.4
13,2009,78.4,84.6
13,2010,78.7,84.8
13,2011,78.9,85.1
13,2012,79.2,84.8
13,2013,79.2,85.1
13,2014,79.9,85.6
13,2015,79.4,85.2
13,2016,79.8,85.7
13,2017,80.0,85.3
13,2018,80.0,85.7
13,2019,80.4,85.7
13,2020,79.4,85.1
13,2021,79.2,84.9
13,2022,80.0,85.1
14,2000,75.0,82.9
14,2001,75.3,83.1
14,2002,75.2,83.3
14,2003,75.3,83.6
14,2004,76.0,83.9
14,2005,76.1,83.7
14,2006,76.8,83.9
14,2007,76.8,84.1
14,2008,77.3,84.3
14,2009,77.1,84.3
14,2010,77.4,84.7
14,2011,77.7,84.8
14,2012,77.7,84.8
14,2013,78.2,84.8
14,2014,78.5,85.2
14,2015,78.1,85.0
14,2016,78.8,85.1
14,2017,78.8,85.1
14,2018,78.6,85.1
14,2019,79.0,85.2
14,2020,78.7,84.8
14,2021,78.7,84.8
14,2022,78.0,84.5
15,2000,75.1,82.7
15,2001,74.2,82.6
15,2002,75.5,83.2
15,2003,76.2,83.4
15,2004,76.2,84.0
15,2005,76.4,83.6
15,2006,76.2,84.7
15,2007,76.7,83.8
15,2008,77.6,83.5
15,2009,77.7,83.9
15,2010,76.8,83.7
15,2011,77.4,84.4
15,2012,77.5,85.1
15,2013,77.7,85.2
15,2014,78.1,85.2
15,2015,78.8,84.2
15,2016,79.3,83.9
15,2017,77.6,84.6
15,2018,78.3,84.2
15,2019,79.6,84.9
15,2020,78.3,85.3
15,2021,77.7,84.1
15,2022,78.6,85.1
16,2000,75.6,83.5
16,2001,75.2,83.0
16,2002,75.8,83.1
16,2003,76.7,83.8
16,2004,77.0,83.5
16,2005,77.1,83.9
16,2006,76.8,84.4
16,2007,78.1,85.0
16,2008,77.4,85.0
16,2009,76.8,84.5
16,2010,77.9,85.1
16,2011,78.1,85.3
16,2012,78.5,85.0
16,2013,78.3,84.9
16,2014,79.4,86.0
16,2015,78.5,85.1
16,2016,78.6,85.2
16,2017,78.6,85.3
16,2018,79.5,84.6
16,2019,79.0,84.9
16,2020,79.0,85.3
16,2021,78.5,84.8
16,2022,78.2,84.8
17,2000,75.7,82.8
17,2001,75.7,82.8
17,2002,75.6,83.6
17,2003,75.8,83.4
17,2004,76.5,83.8
17,2005,76.4,84.1
17,2006,77.3,84.2
17,2007,77.0,84.5
17,2008,77.5,84.1
17,2009,77.5,84.5
17,2010,77.5,84.3
17,2011,77.8,85.2
17,2012,77.7,85.0
17,2013,78.1,84.5
17,2014,78.6,85.2
17,2015,78.2,85.4
17,2016,78.5,84.9
17,2017,78.8,85.2
17,2018,79.2,85.2
17,2019,79.0,85.3
17,2020,79.2,85.8
17,2021,79.0,85.2
17,2022,78.2,85.2
18,2000,74.5,82.1
18,2001,75.0,82.4
18,2002,74.8,82.3
18,2003,74.2,82.1
18,2004,75.8,82.7
18,2005,75.2,82.5
18,2006,75.9,83.4
18,2007,76.1,83.4
18,2008,75.9,83.5
18,2009,76.6,83.9
18,2010,76.3,84.0
18,2011,77.0,84.2
18,2012,76.8,83.9
18,2013,77.9,84.2
18,2014,77.8,84.7
18,2015,78.0,84.2
18,2016,77.6,83.7
18,2017,77.8,84.6
18,2018,78.1,83.3
18,2019,77.6,84.8
18,2020,77.9,83.7
18,2021,77.8,83.9
18,2022,77.7,84.0
19,2000,75.4,82.7
19,2001,75.7,83.5
19,2002,76.3,82.6
19,2003,76.5,83.6
19,2004,77.1,84.2
19,2005,77.1,83.7
19,2006,77.5,84.9
19,2007,77.0,84.6
19,2008,77.3,84.6
19,2009,77.7,84.5
19,2010,77.0,84.3
19,2011,78.3,84.6
19,2012,78.8,84.7
19,2013,77.9,85.0
19,2014,79.4,85.4
19,2015,78.5,84.9
19,2016,79.1,84.9
19,2017,79.9,85.3
19,2018,79.1,85.2
19,2019,79.3,85.0
19,2020,79.5,86.3
19,2021,79.0,84.6
19,2022,79.4,85.3
21,2000,76.0,83.4
21,2001,75.7,83.5
21,2002,75.9,83.6
21,2003,75.9,83.4
21,2004,77.1,84.4
21,2005,77.3,83.8
21,2006,77.8,84.7
21,2007,77.8,84.7
21,2008,78.3,84.6
21,2009,78.6,85.0
21,2010,78.9,85.3
21,2011,78.5,85.7
21,2012,78.9,85.0
21,2013,79.1,85.3
21,2014,79.7,85.9
21,2015,79.7,85.3
21,2016,79.7,85.8
21,2017,80.2,85.1
21,2018,79.9,85.9
21,2019,80.5,86.0
21,2020,79.6,85.3
21,2021,80.1,86.1
21,2022,80.4,85.5
22,2000,73.4,82.0
22,2001,74.0,82.3
22,2002,74.3,82.5
22,2003,75.0,82.7
22,2004,75.3,83.3
22,2005,75.3,83.4
22,2006,75.7,83.9
22,2007,75.7,83.5
22,2008,75.7,83.5
22,2009,76.4,83.9
22,2010,76.7,84.2
22,2011,76.5,84.5
22,2012,76.9,84.4
22,2013,76.8,84.4
22,2014,77.8,84.5
22,2015,77.7,84.8
22,2016,78.0,84.3
22,2017,78.2,84.2
22,2018,78.2,84.6
22,2019,77.9,84.9
22,2020,78.1,84.6
22,2021,77.9,84.8
22,2022,77.6,84.1
23,2000,73.9,82.3
23,2001,74.2,82.7
23,2002,74.4,83.0
23,2003,73.7,82.2
23,2004,75.4,83.0
23,2005,75.1,84.1
23,2006,75.7,83.4
23,2007,75.3,83.3
23,2008,75.7,83.7
23,2009,75.3,83.4
23,2010,76.6,83.8
23,2011,75.9,83.8
23,2012,76.1,84.2
23,2013,77.0,84.1
23,2014,77.0,84.9
23,2015,77.7,84.6
23,2016,77.2,82.9
23,2017,78.1,84.8
23,2018,77.4,85.1
23,2019,76.4,84.3
23,2020,77.7,83.5
23,2021,77.2,84.2
23,2022,76.6,84.3
24,2000,75.5,83.1
24,2001,76.0,82.9
24,2002,75.5,82.7
24,2003,75.0,83.2
24,2004,76.2,83.9
24,2005,77.0,83.5
24,2006,77.2,83.7
24,2007,77.2,84.1
24,2008,77.6,84.3
24,2009,77.2,84.6
24,2010,77.5,84.2
24,2011,78.7,85.1
24,2012,77.8,84.4
24,2013,78.3,85.0
24,2014,79.1,84.9
24,2015,78.8,84.9
24,2016,78.6,85.2
24,2017,79.2,84.4
24,2018,79.4,85.1
24,2019,79.0,85.0
24,2020,79.6,84.9
24,2021,77.7,84.7
24,2022,78.0,84.4
25,2000,75.5,82.9
25,2001,75.8,83.0
25,2002,76.8,82.9
25,2003,76.1,83.4
25,2004,77.2,83.9
25,2005,76.9,83.9
25,2006,77.0,84.3
