annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2020_80;;23405;27235.27;80.2;4912.0;6;137272;2.28
2020_81;;13734;28173.77;83.55;1656.0;0;85576;2.28
2020_82;;9454;28173.77;82.0;1656.0;0;63608;2.28
2020_83;;57165;31631.17;83.1;97.0;7;225243;2.28
2020_84;;27398;31631.17;82.55;97.0;2;132417;2.28
2020_85;;22183;31002.19;82.85;1071.0;2;159544;2.28
2020_86;;17597;28898.29;82.65;1165.0;5;101593;2.28
2020_87;;12529;28898.29;82.6;1165.0;3;78763;2.28
2020_88;;13377;28037.42;80.35;3863.0;7;78912;2.28
2020_89;;16314;27426.35;80.6;879.0;8;75790;2.28
2020_90;;5029;27426.35;80.65;879.0;1;33730;2.28
2020_91;;64566;56746.62;82.55;106.0;5;353924;2.28
2020_92;;103572;56746.62;83.5;106.0;9;402101;2.28
2020_93;;137446;56746.62;80.65;106.0;6;481326;2.28
2020_94;;87247;56746.62;82.5;106.0;9;359613;2.28
2020_95;;73729;56746.62;81.45;106.0;1;356934;2.28
2021_01;;27891;34943.92;83.2;713.0;8;170271;2.22
2021_02;;23883;28620.62;79.35;5268.0;4;129149;2.22
2021_03;;13931;34943.92;81.45;713.0;1;67560;2.22
2021_04;;8006;36653.88;81.7;97.0;0;34388;2.22
2021_05;;6104;36653.88;83.3;97.0;2;29152;2.22
2021_06;;70098;36653.88;82.45;97.0;6;231909;2.22
2021_07;;13138;34943.92;82.55;713.0;6;71584;2.22
2021_08;;12151;29537.58;79.95;4180.0;8;62426;2.22
2021_09;;6478;29826.84;82.2;1553.0;0;31548;2.22
2021_10;;15632;29537.58;81.15;4180.0;6;76261;2.22
2021_11;;17103;29826.84;81.25;1553.0;4;79461;2.22
2021_12;;8188;29826.84;83.15;1553.0;3;55957;2.22
2021_13;;161753;36653.88;82.05;97.0;8;480045;2.22
2021_14;;28773;29817.99;81.75;927.0;12;162712;2.22
2021_15;;4302;34943.92;80.9;713.0;1;27359;2.22
2021_16;;15879;30573.59;81.65;1312.0;6;73016;2.22
2021_17;;29526;30573.59;82.1;1312.0;6;131520;2.22
2021_18;;11733;29737.31;80.85;1419.0;1;63121;2.22
2021_19;;8819;30573.59;81.8;1312.0;2;46990;2.22
2021_21;;22833;28615.7;83.1;954.0;10;120441;2.22
2021_22;;20578;30688.71;81.35;1136.0;1;133829;2.22
2021_23;;4172;30573.59;80.7;1312.0;0;20767;2.22
2021_24;;14742;30573.59;81.2;1312.0;7;77532;2.22
2021_25;;25058;28615.7;82.45;954.0;12;133865;2.22
2021_26;;27186;34943.92;82.8;713.0;4;123387;2.22
2021_27;;26040;29817.99;80.9;927.0;7;151773;2.22
2021_28;;16258;29737.31;81.7;1419.0;4;107740;2.22
2021_29;;35102;30688.71;81.7;1136.0;4;201697;2.22
2021_30;;36922;29826.84;82.2;1553.0;4;170707;2.22
2021_31;;87811;29826.84;83.85;1553.0;8;337803;2.22
2021_32;;6355;29826.84;82.7;1553.0;0;38464;2.22
2021_33;;98095;30573.59;82.95;1312.0;12;378671;2.22
2021_34;;73259;29826.84;82.6;1553.0;11;273321;2.22
2021_35;;43666;30688.71;83.05;1136.0;2;273748;2.22
2021_36;;8906;29737.31;81.05;1419.0;2;42925;2.22
2021_37;;30054;29737.31;82.6;1419.0;2;141433;2.22
2021_38;;74462;34943.92;83.4;713.0;7;323128;2.22
