annee_code_dpt;politique (parti);securite (Nombre_de_délits);socio_economie (PIB_par_Inflation);sante (Espérance_de_Vie_H/F);environnemental (Parc_installé_éolien_MW);education (Nombre_Total_Établissements);demographie (Population_Totale);technologie (Dépenses_en_R&D_en_pourcentages)
2001_02;;26004;19472.6;77.15;21.0;23;147477;2.14
2001_03;;13998;23978.16;78.1;3.0;2;73360;2.14
2001_04;;7588;22598.64;79.8;0.0;2;34136;2.14
2001_05;;6762;22598.64;80.05;0.0;5;30379;2.14
2001_06;;117174;22598.64;80.15;0.0;2;226407;2.14
2001_07;;10220;23978.16;79.5;3.0;5;69324;2.14
2001_08;;14214;21984.65;77.2;0.0;24;78106;2.14
2001_09;;6225;20358.16;79.3;49.0;7;30302;2.14
2001_10;;18452;21984.65;79.1;0.0;8;75253;2.14
2001_11;;22585;20358.16;79.25;49.0;0;71769;2.14
2001_12;;8318;20358.16;80.2;49.0;11;56361;2.14
2001_13;;191780;22598.64;79.55;0.0;4;465133;2.14
2001_14;;36613;21363.77;79.2;0.0;2;172786;2.14
2001_15;;3895;23978.16;78.4;3.0;13;30922;2.14
2001_16;;14318;21211.26;79.1;0.0;10;78285;2.14
2001_17;;36511;21211.26;79.25;0.0;6;128498;2.14
2001_18;;14628;21996.46;78.7;0.0;1;73279;2.14
2001_19;;9811;21211.26;79.6;0.0;5;47446;2.14
2001_21;;25271;21403.13;79.6;0.0;8;127572;2.14
2001_22;;19429;21011.51;78.15;10.0;10;130012;2.14
2001_23;;3588;21211.26;78.45;0.0;2;23708;2.14
2001_24;;15010;21211.26;79.45;0.0;3;82106;2.14
2001_25;;26518;21403.13;79.4;0.0;13;133269;2.14
2001_26;;31180;23978.16;79.3;3.0;3;116242;2.14
2001_27;;30873;21363.77;78.05;0.0;4;153229;2.14
2001_28;;21763;21996.46;78.85;0.0;8;111420;2.14
2001_29;;38400;21011.51;77.8;10.0;13;209909;2.14
2001_30;;51957;20358.16;79.15;49.0;13;158919;2.14
2001_31;;80502;20358.16;80.25;49.0;6;260282;2.14
2001_32;;5469;20358.16;79.35;49.0;4;36285;2.14
2001_33;;93546;21211.26;79.5;0.0;2;316191;2.14
2001_34;;86845;20358.16;79.4;49.0;2;222026;2.14
2001_35;;44990;21011.51;79.6;10.0;11;233329;2.14
2001_36;;9439;21996.46;78.4;0.0;8;49430;2.14
2001_37;;31763;21996.46;80.3;0.0;2;138593;2.14
2001_38;;74079;23978.16;80.0;3.0;19;298546;2.14
2001_39;;9694;21403.13;79.9;0.0;6;63918;2.14
2001_40;;16633;21211.26;79.15;0.0;1;75284;2.14
2001_41;;13614;21996.46;79.3;0.0;2;75536;2.14
2001_42;;41432;23978.16;79.45;3.0;14;183908;2.14
2001_43;;6091;23978.16;79.0;3.0;3;50463;2.14
2001_44;;83527;22044.67;79.1;0.0;5;308080;2.14
2001_45;;42063;21996.46;79.55;0.0;4;163648;2.14
2001_46;;6018;20358.16;80.2;49.0;1;34039;2.14
2001_47;;15043;21211.26;79.4;0.0;1;70167;2.14
2001_48;;2313;20358.16;79.95;49.0;3;16478;2.14
2001_49;;36223;22044.67;80.0;0.0;16;202170;2.14
2001_50;;18257;21363.77;78.75;0.0;10;123967;2.14
2001_51;;33562;21984.65;78.6;0.0;15;147802;2.14
2001_52;;9008;21984.65;78.15;0.0;2;48768;2.14
2001_53;;9983;22044.67;80.8;0.0;5;76381;2.14
2001_54;;40240;21984.65;78.75;0.0;13;184263;2.14
2001_55;;8159;21984.65;78.25;0.0;3;50178;2.14
2001_56;;27780;21011.51;78.45;10.0;4;163103;2.14
2001_57;;56451;21984.65;78.1;0.0;18;265309;2.14
2001_58;;9829;21403.13;77.9;0.0;5;48768;2.14
2001_59;;188962;19472.6;77.15;21.0;41;740797;2.14
2001_60;;53108;19472.6;77.8;21.0;4;223259;2.14
2001_61;;9830;21363.77;79.05;0.0;5;73755;2.14
2001_62;;89860;19472.6;76.4;21.0;20;412559;2.14
2001_63;;27422;23978.16;78.75;3.0;9;139095;2.14
2001_64;;34627;21211.26;79.4;0.0;10;138979;2.14
2001_65;;11227;20358.16;78.95;49.0;4;47611;2.14
2001_66;;35475;20358.16;79.05;49.0;1;90845;2.14
2001_67;;73732;21984.65;78.95;0.0;9;265680;2.14
2001_68;;42001;21984.65;78.6;0.0;12;186036;2.14
2001_69;;141050;23978.16;80.45;3.0;29;420939;2.14
2001_70;;8747;21403.13;78.25;0.0;7;59066;2.14
2001_71;;22703;21403.13;79.4;0.0;4;128168;2.14
2001_72;;24277;22044.67;79.85;0.0;5;137263;2.14
2001_73;;31027;23978.16;79.6;3.0;3;96022;2.14
2001_74;;42471;23978.16;80.2;3.0;8;173721;2.14
2001_75;;312156;39765.82;80.55;0.0;8;411657;2.14
2001_76;;75456;21363.77;78.4;0.0;16;336986;2.14
2001_77;;92977;39765.82;78.95;0.0;4;359829;2.14
2001_78;;103892;39765.82;80.6;0.0;5;388894;2.14
2001_79;;10487;21211.26;80.2;0.0;15;83901;2.14
2001_80;;33178;19472.6;77.55;21.0;25;147094;2.14
2001_81;;14593;20358.16;80.95;49.0;7;78842;2.14
2001_82;;10752;20358.16;79.7;49.0;2;50065;2.14
2001_83;;82459;22598.64;79.4;0.0;3;216385;2.14
2001_84;;44449;22598.64;79.05;0.0;7;131766;2.14
2001_85;;22005;22044.67;79.5;0.0;6;136217;2.14
2001_86;;18043;21211.26;80.2;0.0;3;95195;2.14
2001_87;;14419;21211.26;79.3;0.0;5;74657;2.14
2001_88;;14944;21984.65;78.05;0.0;6;97878;2.14
2001_89;;17894;21403.13;77.9;0.0;1;83008;2.14
2001_90;;7523;21403.13;78.55;0.0;1;36045;2.14
2001_91;;81482;39765.82;80.15;0.0;4;324221;2.14
2001_92;;118750;39765.82;80.55;0.0;6;359269;2.14
2001_93;;141790;39765.82;79.25;0.0;6;410396;2.14
2001_94;;106055;39765.82;80.05;0.0;6;322024;2.14
2001_95;;111693;39765.82;79.8;0.0;1;335087;2.14
2002_01;6;27299;24224.77;80.0;3.0;2;146640;2.17
2002_02;6;28452;20005.88;76.8;11.0;20;145835;2.17
2002_03;6;14853;24224.77;78.65;3.0;3;72876;2.17
2002_04;6;7884;22964.6;79.75;0.0;4;34434;2.17
2002_05;6;7314;22964.6;80.4;0.0;2;30512;2.17
2002_06;6;114776;22964.6;80.55;0.0;1;228456;2.17
2002_07;6;11171;24224.77;80.25;3.0;6;69532;2.17
2002_08;6;15360;22333.04;77.25;2.0;7;76907;2.17
2002_09;6;6288;20781.6;79.15;88.0;5;30437;2.17
2002_10;6;18710;22333.04;78.85;2.0;10;74831;2.17
2002_11;6;21472;20781.6;79.5;88.0;0;72474;2.17
2002_12;6;8191;20781.6;80.6;88.0;6;56147;2.17
2002_13;6;188008;22964.6;79.45;0.0;8;468318;2.17
2002_14;6;37786;21813.28;79.25;0.2;15;172549;2.17
2002_15;6;3931;24224.77;79.35;3.0;11;30462;2.17
2002_16;6;14474;21851.52;79.45;0.0;1;77747;2.17
2002_17;6;37696;21851.52;79.6;0.0;5;128884;2.17
2002_18;6;15833;22361.48;78.55;0.0;4;72858;2.17
2002_19;6;9033;21851.52;79.45;0.0;6;47382;2.17
2002_21;6;27373;21771.11;79.75;0.0;14;127683;2.17
2002_22;6;22688;21375.89;78.4;14.0;9;129699;2.17
2002_23;6;3756;21851.52;78.7;0.0;0;23559;2.17
2002_24;6;15069;21851.52;79.1;0.0;0;81905;2.17
2002_25;6;28235;21771.11;79.85;0.0;19;132757;2.17
2002_26;6;32114;24224.77;80.3;3.0;6;116353;2.17
2002_27;6;31488;21813.28;77.85;0.2;8;152816;2.17
2002_28;6;22753;22361.48;79.65;0.0;3;110670;2.17
2002_29;6;40657;21375.89;78.05;14.0;13;209649;2.17
2002_30;6;49779;20781.6;79.5;88.0;20;160426;2.17
2002_31;6;79045;20781.6;80.3;88.0;10;266946;2.17
2002_32;6;5826;20781.6;79.45;88.0;3;36445;2.17
2002_33;6;96708;21851.52;79.8;0.0;5;319508;2.17
2002_34;6;86204;20781.6;79.75;88.0;1;226354;2.17
2002_35;6;48371;21375.89;79.65;14.0;6;236272;2.17
2002_36;6;10004;22361.48;79.15;0.0;0;49181;2.17
2002_37;6;34831;22361.48;80.4;0.0;1;139333;2.17
2002_38;6;77339;24224.77;80.1;3.0;18;300995;2.17
2002_39;6;9864;21771.11;79.0;0.0;3;63541;2.17
2002_40;6;18150;21851.52;79.6;0.0;1;75924;2.17
2002_41;6;14059;22361.48;79.95;0.0;2;75144;2.17
2002_42;6;40567;24224.77;79.65;3.0;16;182980;2.17
2002_43;6;6651;24224.77;78.95;3.0;12;50324;2.17
2002_44;6;82344;22510.54;79.45;0.0;10;310188;2.17
2002_45;6;42349;22361.48;80.05;0.0;4;163640;2.17
2002_46;6;5752;20781.6;80.5;88.0;5;34103;2.17
2002_47;6;15492;21851.52;79.95;0.0;4;69970;2.17
2002_48;6;2549;20781.6;79.35;88.0;5;16428;2.17
2002_49;6;34365;22510.54;80.1;0.0;14;201883;2.17
2002_50;6;19565;21813.28;79.4;0.2;10;122696;2.17
2002_51;6;37148;22333.04;78.9;2.0;23;146962;2.17
2002_52;6;10400;22333.04;78.45;2.0;14;47595;2.17
2002_53;6;9767;22510.54;80.5;0.0;8;76179;2.17
2002_54;6;43525;22333.04;78.6;2.0;12;183943;2.17
2002_55;6;9020;22333.04;77.95;2.0;7;49654;2.17
2002_56;6;29707;21375.89;78.55;14.0;4;163052;2.17
2002_57;6;57615;22333.04;78.05;2.0;84;262144;2.17
2002_58;6;10300;21771.11;78.35;0.0;5;48033;2.17
2002_59;6;189185;20005.88;77.0;11.0;60;734623;2.17
2002_60;6;55044;20005.88;78.4;11.0;4;222118;2.17
2002_61;6;9946;21813.28;79.4;0.2;19;72837;2.17
2002_62;6;92270;20005.88;76.45;11.0;20;408584;2.17
2002_63;6;29852;24224.77;79.25;3.0;7;139383;2.17
2002_64;6;32668;21851.52;79.9;0.0;12;138979;2.17
2002_65;6;11389;20781.6;79.45;88.0;3;47576;2.17
2002_66;6;39083;20781.6;79.55;88.0;4;92119;2.17
2002_67;6;71331;22333.04;79.25;2.0;20;266593;2.17
2002_68;6;45452;22333.04;78.6;2.0;27;185594;2.17
2002_69;6;142196;24224.77;80.3;3.0;27;423434;2.17
2002_70;6;8733;21771.11;79.25;0.0;4;58614;2.17
2002_71;6;23454;21771.11;79.35;0.0;19;126902;2.17
2002_72;6;24656;22510.54;79.95;0.0;7;137588;2.17
2002_73;6;29787;24224.77;80.2;3.0;7;96723;2.17
2002_74;6;43110;24224.77;80.25;3.0;7;174620;2.17
2002_75;6;300787;40796.31;80.95;0.0;12;416549;2.17
2002_76;6;77364;21813.28;78.55;0.2;28;334601;2.17
2002_77;6;94808;40796.31;79.1;0.0;2;360434;2.17
2002_78;6;103319;40796.31;81.0;0.0;11;387996;2.17
2002_79;6;10737;21851.52;80.3;0.0;6;83445;2.17
2002_80;6;32132;20005.88;77.9;11.0;15;146707;2.17
2002_81;6;14959;20781.6;80.2;88.0;14;79074;2.17
2002_82;6;11030;20781.6;80.35;88.0;9;50690;2.17
2002_83;6;78820;22964.6;79.55;0.0;4;217737;2.17
2002_84;6;45352;22964.6;79.55;0.0;4;132062;2.17
2002_85;6;24289;22510.54;79.85;0.0;10;136390;2.17
2002_86;6;19631;21851.52;80.3;0.0;4;96100;2.17
2002_87;6;15095;21851.52;79.45;0.0;5;75122;2.17
2002_88;6;15457;22333.04;78.35;2.0;8;96466;2.17
2002_89;6;19566;21771.11;78.45;0.0;1;82262;2.17
2002_90;6;7889;21771.11;78.85;0.0;0;35896;2.17
2002_91;6;82419;40796.31;80.3;0.0;7;326113;2.17
2002_92;6;116632;40796.31;81.0;0.0;4;364496;2.17
2002_93;6;140262;40796.31;79.4;0.0;3;414427;2.17
2002_94;6;103441;40796.31;80.25;0.0;9;324496;2.17
2002_95;6;112710;40796.31;79.65;0.0;15;335267;2.17
2003_01;;25833;24641.84;80.7;4.0;10;147793;2.12
2003_02;;26866;20563.45;77.4;27.0;22;144481;2.12
2003_03;;13289;24641.84;78.65;4.0;6;72268;2.12
2003_04;;7623;23580.6;80.05;0.9;2;34680;2.12
2003_05;;6909;23580.6;80.55;0.9;2;30599;2.12
2003_06;;111118;23580.6;80.35;0.9;8;230731;2.12
2003_07;;10830;24641.84;79.9;4.0;2;69817;2.12
2003_08;;13989;22675.16;77.75;2.0;10;75757;2.12
2003_09;;5474;21315.04;79.4;127.0;4;30602;2.12
2003_10;;16544;22675.16;78.9;2.0;9;74399;2.12
2003_11;;20809;21315.04;79.85;127.0;4;73332;2.12
2003_12;;8200;21315.04;80.05;127.0;7;56084;2.12
2003_13;;183979;23580.6;79.55;0.9;5;471297;2.12
2003_14;;37325;22428.22;79.45;0.2;24;172455;2.12
2003_15;;3766;24641.84;79.8;4.0;9;30144;2.12
2003_16;;12618;22220.48;80.25;0.0;6;77092;2.12
2003_17;;37019;22220.48;79.6;0.0;6;129184;2.12
2003_18;;15019;22789.81;78.15;0.0;3;72339;2.12
2003_19;;8883;22220.48;80.05;0.0;2;47328;2.12
2003_21;;26609;22071.53;79.65;0.0;7;127726;2.12
2003_22;;22174;21915.73;78.85;22.0;6;129964;2.12
2003_23;;3068;22220.48;77.95;0.0;0;23375;2.12
2003_24;;14443;22220.48;79.1;0.0;3;81914;2.12
2003_25;;26243;22071.53;79.75;0.0;18;132202;2.12
2003_26;;30271;24641.84;80.05;4.0;6;116554;2.12
2003_27;;29845;22428.22;78.55;0.2;13;152474;2.12
2003_28;;21156;22789.81;79.2;0.0;3;109834;2.12
2003_29;;38838;21915.73;78.25;22.0;10;209465;2.12
2003_30;;50200;21315.04;79.65;127.0;9;161980;2.12
2003_31;;80297;21315.04;80.75;127.0;1;273340;2.12
2003_32;;5950;21315.04;80.25;127.0;3;36607;2.12
2003_33;;95851;22220.48;79.8;0.0;9;322640;2.12
2003_34;;81937;21315.04;80.0;127.0;7;230518;2.12
2003_35;;47198;21915.73;79.7;22.0;5;238965;2.12
2003_36;;8988;22789.81;78.6;0.0;4;49026;2.12
2003_37;;31043;22789.81;80.35;0.0;12;140031;2.12
2003_38;;80603;24641.84;80.35;4.0;23;303263;2.12
2003_39;;9497;22071.53;79.45;0.0;11;63292;2.12
2003_40;;16834;22220.48;79.95;0.0;2;76746;2.12
2003_41;;12853;22789.81;79.15;0.0;3;75016;2.12
2003_42;;38089;24641.84;79.9;4.0;13;182022;2.12
2003_43;;6452;24641.84;79.1;4.0;8;50440;2.12
2003_44;;80239;23027.93;79.5;20.0;6;312602;2.12
2003_45;;40521;22789.81;79.8;0.0;2;163580;2.12
2003_46;;5713;21315.04;80.35;127.0;3;34094;2.12
2003_47;;14566;22220.48;80.25;0.0;1;70029;2.12
2003_48;;2160;21315.04;78.7;127.0;4;16411;2.12
2003_49;;34434;23027.93;80.1;20.0;27;201628;2.12
2003_50;;18442;22428.22;79.2;0.2;5;121686;2.12
2003_51;;35954;22675.16;78.9;2.0;16;145884;2.12
2003_52;;9738;22675.16;78.15;2.0;15;46529;2.12
2003_53;;9521;23027.93;80.05;20.0;6;76203;2.12
2003_54;;42486;22675.16;78.55;2.0;13;183151;2.12
2003_55;;8017;22675.16;78.55;2.0;18;49183;2.12
2003_56;;28304;21915.73;78.75;22.0;2;163287;2.12
2003_57;;55005;22675.16;78.1;2.0;38;259218;2.12
2003_58;;9539;22071.53;78.3;0.0;2;47434;2.12
2003_59;;180913;20563.45;77.25;27.0;80;729134;2.12
2003_60;;51366;20563.45;78.55;27.0;1;221122;2.12
2003_61;;10117;22428.22;79.35;0.2;14;71965;2.12
2003_62;;84570;20563.45;76.65;27.0;15;404319;2.12
2003_63;;26976;24641.84;79.55;4.0;3;139370;2.12
2003_64;;31209;22220.48;80.1;0.0;5;139411;2.12
2003_65;;10394;21315.04;79.75;127.0;3;47472;2.12
2003_66;;37897;21315.04;79.2;127.0;0;93479;2.12
2003_67;;69101;22675.16;79.3;2.0;14;267045;2.12
2003_68;;41986;22675.16;79.3;2.0;12;184908;2.12
2003_69;;139074;24641.84;80.4;4.0;42;425834;2.12
2003_70;;7587;22071.53;79.05;0.0;6;58229;2.12
2003_71;;22215;22071.53;79.25;0.0;26;125604;2.12
2003_72;;24359;23027.93;79.65;20.0;11;137792;2.12
2003_73;;28598;24641.84;80.0;4.0;2;97337;2.12
2003_74;;41946;24641.84;80.45;4.0;12;175857;2.12
2003_75;;280356;41287.6;80.6;0.0;5;421482;2.12
2003_76;;76737;22428.22;78.55;0.2;24;331079;2.12
2003_77;;95588;41287.6;79.2;0.0;8;361293;2.12
2003_78;;101811;41287.6;80.55;0.0;23;387528;2.12
2003_79;;10543;22220.48;79.9;0.0;7;83202;2.12
2003_80;;31082;20563.45;77.5;27.0;22;145964;2.12
2003_81;;14531;21315.04;80.7;127.0;9;79384;2.12
2003_82;;11026;21315.04;79.85;127.0;2;51398;2.12
2003_83;;73346;23580.6;79.7;0.9;2;219020;2.12
2003_84;;41922;23580.6;79.55;0.9;10;132551;2.12
2003_85;;22654;23027.93;79.9;20.0;6;136991;2.12
2003_86;;19524;22220.48;80.05;0.0;1;96856;2.12
2003_87;;14195;22220.48;79.95;0.0;4;75828;2.12
2003_88;;15402;22675.16;78.3;2.0;7;95208;2.12
2003_89;;19279;22071.53;78.5;0.0;10;81627;2.12
2003_90;;7544;22071.53;78.8;0.0;1;35767;2.12
2003_91;;81024;41287.6;80.1;0.0;8;327713;2.12
2003_92;;113043;41287.6;80.55;0.0;1;369246;2.12
2003_93;;137320;41287.6;78.7;0.0;0;418759;2.12
2003_94;;103198;41287.6;79.85;0.0;3;327087;2.12
2003_95;;106366;41287.6;79.55;0.0;5;335448;2.12
2004_01;;24002;25913.05;81.35;4.0;10;149676;2.09
2004_02;;25134;21195.54;78.6;86.0;16;143713;2.09
2004_03;;12530;25913.05;79.35;4.0;5;72122;2.09
2004_04;;7201;24715.56;80.4;0.9;0;34993;2.09
2004_05;;6146;24715.56;80.4;0.9;5;30753;2.09
2004_06;;110408;24715.56;81.05;0.9;3;232855;2.09
2004_07;;10808;25913.05;80.85;4.0;7;70520;2.09
2004_08;;13047;23690.39;77.95;2.0;8;74975;2.09
2004_09;;5484;22094.39;79.55;143.0;4;31016;2.09
2004_10;;17050;23690.39;80.35;2.0;5;74325;2.09
2004_11;;20160;22094.39;80.4;143.0;1;74496;2.09
2004_12;;8020;22094.39;81.55;143.0;9;56329;2.09
2004_13;;183525;24715.56;80.35;0.9;5;474831;2.09
2004_14;;36466;23301.67;79.95;8.0;28;172700;2.09
2004_15;;3559;25913.05;80.1;4.0;7;29937;2.09
2004_16;;11524;22855.18;80.25;18.0;4;76689;2.09
2004_17;;34472;22855.18;80.15;18.0;10;130071;2.09
2004_18;;14318;23641.44;79.25;0.0;3;72068;2.09
2004_19;;8244;22855.18;80.65;18.0;4;47320;2.09
2004_21;;26040;22951.14;80.75;0.0;16;127953;2.09
2004_22;;21112;23230.2;79.3;40.0;8;130971;2.09
2004_23;;2753;22855.18;79.2;18.0;3;23336;2.09
2004_24;;14731;22855.18;80.05;18.0;1;82278;2.09
2004_25;;26805;22951.14;80.55;0.0;13;132199;2.09
2004_26;;27761;25913.05;80.7;4.0;1;117164;2.09
2004_27;;28916;23301.67;79.25;8.0;11;152760;2.09
2004_28;;20396;23641.44;80.4;0.0;7;109687;2.09
2004_29;;38061;23230.2;79.1;40.0;26;210242;2.09
2004_30;;49920;22094.39;80.0;143.0;7;163866;2.09
2004_31;;78902;22094.39;81.1;143.0;4;279851;2.09
2004_32;;5506;22094.39;81.4;143.0;5;36938;2.09
2004_33;;98583;22855.18;80.75;18.0;5;326702;2.09
2004_34;;82375;22094.39;80.75;143.0;11;234901;2.09
2004_35;;44802;23230.2;80.45;40.0;14;242483;2.09
2004_36;;8234;23641.44;79.85;0.0;6;49029;2.09
2004_37;;30839;23641.44;81.45;0.0;3;140806;2.09
2004_38;;75204;25913.05;81.3;4.0;15;306385;2.09
2004_39;;9203;22951.14;80.4;0.0;12;63286;2.09
2004_40;;16067;22855.18;80.95;18.0;2;77909;2.09
2004_41;;11817;23641.44;80.35;0.0;3;75200;2.09
2004_42;;37144;25913.05;80.55;4.0;22;181733;2.09
2004_43;;6330;25913.05;79.85;4.0;6;50818;2.09
2004_44;;76471;23723.69;80.3;20.0;6;315981;2.09
2004_45;;39921;23641.44;80.6;0.0;5;164309;2.09
2004_46;;4699;22094.39;80.9;143.0;2;34330;2.09
2004_47;;13386;22855.18;80.75;18.0;5;70167;2.09
2004_48;;1954;22094.39;79.9;143.0;0;16527;2.09
2004_49;;31832;23723.69;80.9;20.0;15;202546;2.09
2004_50;;18034;23301.67;79.7;8.0;6;121036;2.09
2004_51;;35481;23690.39;79.6;2.0;18;145135;2.09
2004_52;;8718;23690.39;79.8;2.0;14;45700;2.09
2004_53;;9686;23723.69;81.25;20.0;6;76440;2.09
2004_54;;39214;23690.39;79.75;2.0;7;182970;2.09
2004_55;;7723;23690.39;78.9;2.0;10;48815;2.09
2004_56;;26819;23230.2;79.1;40.0;3;164331;2.09
2004_57;;50801;23690.39;78.95;2.0;42;257240;2.09
2004_58;;9019;22951.14;79.05;0.0;7;46969;2.09
2004_59;;170832;21195.54;78.05;86.0;38;725701;2.09
2004_60;;49121;21195.54;79.5;86.0;4;220878;2.09
2004_61;;10461;23301.67;80.25;8.0;16;71351;2.09
2004_62;;81053;21195.54;77.65;86.0;9;401299;2.09
2004_63;;26915;25913.05;79.85;4.0;1;139962;2.09
2004_64;;28780;22855.18;80.65;18.0;7;140231;2.09
2004_65;;9947;22094.39;80.75;143.0;12;47541;2.09
2004_66;;35526;22094.39;79.95;143.0;0;95065;2.09
2004_67;;65281;23690.39;79.95;2.0;16;268402;2.09
2004_68;;36891;23690.39;79.75;2.0;8;184996;2.09
2004_69;;134729;25913.05;81.25;4.0;30;428999;2.09
2004_70;;7468;22951.14;79.6;0.0;5;58085;2.09
2004_71;;21974;22951.14;80.85;0.0;16;124971;2.09
2004_72;;23519;23723.69;80.35;20.0;5;138782;2.09
2004_73;;28889;25913.05;80.95;4.0;6;98158;2.09
2004_74;;41126;25913.05;81.05;4.0;14;177621;2.09
2004_75;;267943;42361.7;81.85;0.0;4;425154;2.09
2004_76;;75162;23301.67;79.35;8.0;20;329189;2.09
2004_77;;93045;42361.7;79.9;0.0;13;362946;2.09
2004_78;;95166;42361.7;81.5;0.0;12;388266;2.09
2004_79;;10434;22855.18;80.7;18.0;3;83388;2.09
2004_80;;29445;21195.54;78.5;86.0;9;145989;2.09
2004_81;;13501;22094.39;81.1;143.0;4;80180;2.09
2004_82;;11097;22094.39;80.75;143.0;1;52255;2.09
2004_83;;70198;24715.56;80.6;0.9;2;220702;2.09
2004_84;;39645;24715.56;80.6;0.9;0;133447;2.09
2004_85;;21087;23723.69;80.6;20.0;7;138464;2.09
2004_86;;19213;22855.18;81.2;18.0;1;97675;2.09
2004_87;;14639;22855.18;80.8;18.0;2;76360;2.09
2004_88;;14484;23690.39;78.75;2.0;15;94476;2.09
2004_89;;18326;22951.14;79.15;0.0;8;81280;2.09
2004_90;;7476;22951.14;79.7;0.0;3;35804;2.09
2004_91;;79118;42361.7;81.45;0.0;6;329952;2.09
2004_92;;107026;42361.7;82.0;0.0;5;374371;2.09
2004_93;;134323;42361.7;80.1;0.0;9;423538;2.09
2004_94;;97371;42361.7;81.4;0.0;7;330222;2.09
2004_95;;98845;42361.7;80.4;0.0;11;336520;2.09
2005_01;;23582;26617.57;80.85;97.0;5;151471;2.05
2005_02;;24395;21848.8;78.45;111.0;12;142747;2.05
2005_03;;12507;26617.57;79.15;97.0;1;71918;2.05
2005_04;;7077;25730.98;80.65;22.0;1;35305;2.05
2005_05;;6050;25730.98;80.85;22.0;1;30846;2.05
2005_06;;113715;25730.98;81.25;22.0;3;235361;2.05
2005_07;;10952;26617.57;80.6;97.0;7;71048;2.05
2005_08;;12483;24051.06;78.65;134.0;9;74048;2.05
2005_09;;4771;22952.38;80.0;187.0;2;31450;2.05
2005_10;;16355;24051.06;79.55;134.0;3;74168;2.05
2005_11;;19954;22952.38;80.2;187.0;9;75607;2.05
2005_12;;7367;22952.38;80.8;187.0;3;56610;2.05
2005_13;;187099;25730.98;80.5;22.0;4;477915;2.05
2005_14;;33402;23834.07;79.9;35.0;21;172727;2.05
2005_15;;3512;26617.57;80.0;97.0;2;29817;2.05
2005_16;;11878;23552.28;80.5;21.0;3;76405;2.05
2005_17;;34488;23552.28;80.25;21.0;11;130985;2.05
2005_18;;13992;24128.62;78.85;23.0;4;71839;2.05
2005_19;;8181;23552.28;80.4;21.0;2;47424;2.05
2005_21;;25417;23294.06;80.55;0.0;5;127790;2.05
2005_22;;20807;24070.69;79.35;89.0;13;131950;2.05
2005_23;;2760;23552.28;79.6;21.0;2;23290;2.05
2005_24;;15293;23552.28;80.25;21.0;2;82875;2.05
2005_25;;24737;23294.06;80.4;0.0;3;132318;2.05
2005_26;;26748;26617.57;80.85;97.0;4;117781;2.05
2005_27;;27631;23834.07;79.2;35.0;16;152948;2.05
2005_28;;18988;24128.62;79.85;23.0;4;109506;2.05
2005_29;;37004;24070.69;79.2;89.0;14;210814;2.05
2005_30;;48457;22952.38;80.0;187.0;2;165827;2.05
2005_31;;77842;22952.38;81.6;187.0;4;285857;2.05
2005_32;;5521;22952.38;80.9;187.0;5;37333;2.05
2005_33;;100217;23552.28;80.65;21.0;5;330394;2.05
2005_34;;79909;22952.38;80.7;187.0;2;238996;2.05
2005_35;;46098;24070.69;80.75;89.0;4;245685;2.05
2005_36;;7747;24128.62;79.75;23.0;3;49123;2.05
2005_37;;27938;24128.62;81.4;23.0;10;141241;2.05
2005_38;;73065;26617.57;81.3;97.0;12;309331;2.05
2005_39;;8924;23294.06;80.55;0.0;13;63301;2.05
2005_40;;16767;23552.28;80.75;21.0;4;79207;2.05
2005_41;;12901;24128.62;80.55;23.0;1;75430;2.05
2005_42;;36435;26617.57;80.6;97.0;13;181560;2.05
2005_43;;5972;26617.57;79.75;97.0;7;51280;2.05
2005_44;;76394;24431.03;80.45;21.0;6;319282;2.05
2005_45;;36510;24128.62;81.1;23.0;4;164967;2.05
2005_46;;4404;22952.38;80.5;187.0;1;34463;2.05
2005_47;;13945;23552.28;80.45;21.0;3;70561;2.05
2005_48;;1998;22952.38;79.5;187.0;0;16585;2.05
2005_49;;32193;24431.03;81.0;21.0;15;203411;2.05
2005_50;;17315;23834.07;80.0;35.0;7;120377;2.05
2005_51;;36701;24051.06;79.75;134.0;11;144208;2.05
2005_52;;8629;24051.06;79.35;134.0;6;44858;2.05
2005_53;;9218;24431.03;81.65;21.0;2;76751;2.05
2005_54;;40735;24051.06;79.45;134.0;10;182533;2.05
2005_55;;7465;24051.06;78.75;134.0;21;48535;2.05
2005_56;;26033;24070.69;79.3;89.0;5;165464;2.05
2005_57;;50580;24051.06;79.1;134.0;43;255177;2.05
2005_58;;9268;23294.06;78.7;0.0;6;46571;2.05
2005_59;;170105;21848.8;77.85;111.0;32;721083;2.05
2005_60;;45314;21848.8;79.7;111.0;7;220433;2.05
2005_61;;10014;23834.07;79.95;35.0;21;70787;2.05
2005_62;;83015;21848.8;77.4;111.0;14;398477;2.05
2005_63;;26008;26617.57;79.7;97.0;2;140426;2.05
2005_64;;27520;23552.28;80.8;21.0;4;140989;2.05
2005_65;;9764;22952.38;80.3;187.0;0;47725;2.05
2005_66;;37047;22952.38;80.15;187.0;0;96474;2.05
2005_67;;65450;24051.06;80.1;134.0;20;269039;2.05
2005_68;;37364;24051.06;80.15;134.0;7;184842;2.05
2005_69;;134125;26617.57;81.4;97.0;18;431946;2.05
2005_70;;7481;23294.06;79.8;0.0;6;58071;2.05
