Code_INSEE_région,Année,Parc_installé_éolien_MW,Parc_installé_solaire_MW
76,2001,49.0,0.0
76,2002,88.0,0.0
76,2003,127.0,0.0
76,2004,143.0,0.0
76,2005,187.0,0.0
76,2006,286.0,0.3
76,2007,352.0,0.8
76,2008,572.0,19.0
76,2009,699.0,50.0
76,2010,725.0,166.0
76,2011,812.0,548.0
76,2012,857.0,751.0
76,2013,877.0,932.0
76,2014,934.0,1119.0
76,2015,1037.0,1283.0
76,2016,1164.0,1481.0
76,2017,1398.0,1618.0
76,2018,1518.0,1834.0
76,2019,1630.0,2030.0
76,2020,1656.0,2166.0
76,2021,1553.0,2633.0
76,2022,1638.0,3151.0
76,2023,1662.0,3619.0
84,2001,3.0,0.0
84,2002,3.0,0.0
84,2003,4.0,0.0
84,2004,4.0,0.0
84,2005,97.0,0.0
84,2006,131.0,1.0
84,2007,162.0,2.0
84,2008,209.0,11.0
84,2009,271.0,23.0
84,2010,280.0,116.0
84,2011,334.0,298.0
84,2012,357.0,410.0
84,2013,357.0,474.0
84,2014,376.0,581.0
84,2015,402.0,645.0
84,2016,443.0,703.0
84,2017,500.0,777.0
84,2018,552.0,941.0
84,2019,552.0,1069.0
84,2020,576.0,1198.0
84,2021,713.0,1482.0
84,2022,710.0,1833.0
84,2023,742.0,2237.0
93,2001,0.0,0.0
93,2002,0.0,0.0
93,2003,0.9,0.0
93,2004,0.9,0.0
93,2005,22.0,0.0
93,2006,32.0,0.3
93,2007,32.0,0.4
93,2008,40.0,4.0
93,2009,45.0,29.0
93,2010,45.0,121.0
93,2011,47.0,378.0
93,2012,47.0,530.0
93,2013,45.0,664.0
93,2014,47.0,767.0
93,2015,50.0,870.0
93,2016,50.0,945.0
93,2017,50.0,1112.0
93,2018,48.0,1225.0
93,2019,48.0,1339.0
93,2020,97.0,1433.0
93,2021,97.0,1653.0
93,2022,97.0,1955.0
93,2023,97.0,2227.0
94,2001,12.0,0.0
94,2002,12.0,0.0
94,2003,18.0,0.0
94,2004,18.0,0.0
94,2005,18.0,0.0
94,2006,18.0,0.0
94,2007,18.0,0.1
94,2008,18.0,0.1
94,2009,18.0,0.2
94,2010,18.0,11.0
94,2011,18.0,61.0
94,2012,18.0,83.0
94,2013,18.0,93.0
94,2014,18.0,102.0
94,2015,18.0,110.0
94,2016,18.0,116.0
94,2017,18.0,134.0
94,2018,18.0,152.0
94,2019,18.0,152.0
94,2020,18.0,152.0
94,2021,18.0,152.0
94,2022,18.0,218.0
94,2023,18.0,230.0
