Département,Année,Délits_total
13,2020,141531
13,2021,161753
13,2022,118976
14,1996,31998
14,1997,32213
14,1998,32027
14,1999,33087
14,2000,34585
14,2001,36613
14,2002,37786
14,2003,37325
14,2004,36466
14,2005,33402
14,2006,32146
14,2007,31499
14,2008,30607
14,2009,30177
14,2010,29314
14,2011,28130
14,2012,28139
14,2013,27944
14,2014,27182
14,2015,28876
14,2016,28756
14,2017,29918
14,2018,29753
14,2019,29470
14,2020,26623
14,2021,28773
14,2022,21231
15,1996,3443
15,1997,3061
15,1998,3406
15,1999,3415
15,2000,3673
15,2001,3895
15,2002,3931
15,2003,3766
15,2004,3559
15,2005,3512
15,2006,3529
15,2007,3284
15,2008,3272
15,2009,3098
15,2010,2984
15,2011,3052
15,2012,3297
15,2013,3454
15,2014,3599
15,2015,4119
15,2016,4117
15,2017,4275
15,2018,4530
15,2019,4553
15,2020,4069
15,2021,4302
15,2022,3051
16,1996,16122
16,1997,14243
16,1998,11877
16,1999,11842
16,2000,12563
16,2001,14318
16,2002,14474
16,2003,12618
16,2004,11524
16,2005,11878
16,2006,12687
16,2007,13267
16,2008,13818
16,2009,13500
16,2010,13949
16,2011,14267
16,2012,13838
16,2013,14277
16,2014,14392
16,2015,14958
16,2016,15683
16,2017,15593
16,2018,16303
16,2019,16240
16,2020,14269
16,2021,15879
16,2022,11409
17,1996,32222
17,1997,31293
17,1998,28723
17,1999,33478
17,2000,34665
17,2001,36511
17,2002,37696
17,2003,37019
17,2004,34472
17,2005,34488
17,2006,32834
17,2007,30424
17,2008,31300
17,2009,32305
17,2010,32620
17,2011,32578
17,2012,31090
17,2013,31451
17,2014,32536
17,2015,32174
17,2016,30792
17,2017,32128
17,2018,31105
17,2019,33039
17,2020,28845
17,2021,29526
17,2022,21850
18,1996,13355
18,1997,12335
18,1998,13218
18,1999,12976
18,2000,13156
18,2001,14628
18,2002,15833
18,2003,15019
18,2004,14318
18,2005,13992
18,2006,12642
18,2007,11484
18,2008,12877
18,2009,12205
18,2010,11539
18,2011,11386
18,2012,11813
18,2013,12617
18,2014,13038
18,2015,13579
18,2016,13455
18,2017,13672
18,2018,13269
18,2019,12910
18,2020,10926
18,2021,11733
18,2022,8721
19,1996,8700
19,1997,8388
19,1998,9283
19,1999,8435
19,2000,9167
19,2001,9811
19,2002,9033
19,2003,8883
19,2004,8244
19,2005,8181
19,2006,7762
19,2007,7992
19,2008,8705
19,2009,7992
19,2010,7975
19,2011,7773
19,2012,7704
19,2013,8180
19,2014,8377
19,2015,8142
19,2016,8399
19,2017,8495
19,2018,8781
19,2019,8904
19,2020,8063
19,2021,8819
19,2022,5872
21,1996,23886
21,1997,22474
21,1998,23266
21,1999,21845
21,2000,22652
21,2001,25271
21,2002,27373
21,2003,26609
21,2004,26040
21,2005,25417
21,2006,24947
21,2007,22726
21,2008,23456
21,2009,22851
21,2010,21776
21,2011,22414
21,2012,21387
21,2013,22450
21,2014,23130
21,2015,23077
21,2016,22851
21,2017,23070
21,2018,23326
21,2019,24037
21,2020,21387
21,2021,22833
21,2022,15802
22,1996,17013
22,1997,16112
22,1998,16534
22,1999,16283
22,2000,17828
22,2001,19429
22,2002,22688
22,2003,22174
22,2004,21112
22,2005,20807
22,2006,20391
22,2007,20567
22,2008,19290
22,2009,19919
22,2010,19267
22,2011,18742
22,2012,19035
22,2013,19002
22,2014,20412
22,2015,21415
22,2016,20836
22,2017,21740
22,2018,21952
22,2019,21957
22,2020,19738
22,2021,20578
22,2022,15532
23,1996,2538
23,1997,3253
23,1998,2783
23,1999,3093
23,2000,3367
23,2001,3588
23,2002,3756
23,2003,3068
23,2004,2753
23,2005,2760
23,2006,2491
23,2007,2376
23,2008,2303
23,2009,2141
23,2010,2092
23,2011,2283
23,2012,2374
23,2013,2876
23,2014,2887
23,2015,3219
23,2016,3393
23,2017,3799
23,2018,4056
23,2019,4152
23,2020,3703
23,2021,4172
23,2022,3010
24,1996,12502
24,1997,13413
24,1998,12782
24,1999,11719
24,2000,12702
24,2001,15010
24,2002,15069
24,2003,14443
24,2004,14731
24,2005,15293
24,2006,13833
24,2007,13495
24,2008,13605
24,2009,13763
24,2010,13410
24,2011,13432
24,2012,12766
24,2013,13752
24,2014,13880
24,2015,14237
24,2016,14400
24,2017,14725
24,2018,14787
24,2019,15163
24,2020,13709
24,2021,14742
24,2022,10866
25,1996,25744
25,1997,26281
25,1998,24663
25,1999,24367
25,2000,25204
25,2001,26518
25,2002,28235
25,2003,26243
25,2004,26805
25,2005,24737
25,2006,24031
25,2007,21885
25,2008,22305
25,2009,22590
25,2010,23316
25,2011,23236
25,2012,23015
25,2013,25282
25,2014,25793
25,2015,27272
25,2016,25715
25,2017,25730
25,2018,25924
25,2019,26105
25,2020,23732
25,2021,25058
25,2022,17368
26,1996,29006
26,1997,25625
26,1998,26025
26,1999,24638
26,2000,26360
26,2001,31180
26,2002,32114
26,2003,30271
26,2004,27761
26,2005,26748
26,2006,26563
26,2007,25952
26,2008,26996
26,2009,26848
26,2010,25560
26,2011,27660
26,2012,28162
26,2013,29191
26,2014,29556
26,2015,28989
26,2016,28099
26,2017,26922
26,2018,26658
26,2019,26961
26,2020,24696
26,2021,27186
26,2022,18386
27,1996,22696
27,1997,24930
27,1998,26623
27,1999,24237
27,2000,23883
27,2001,30873
27,2002,31488
27,2003,29845
27,2004,28916
27,2005,27631
27,2006,28171
27,2007,27347
27,2008,27029
27,2009,25597
27,2010,24729
27,2011,24067
27,2012,23366
27,2013,23093
27,2014,23168
27,2015,23498
27,2016,24899
27,2017,24771
27,2018,24370
27,2019,25304
27,2020,23338
27,2021,26040
27,2022,17532
28,1996,20586
28,1997,18958
28,1998,19003
28,1999,18457
28,2000,18659
28,2001,21763
28,2002,22753
28,2003,21156
28,2004,20396
28,2005,18988
28,2006,19978
28,2007,18720
28,2008,18354
28,2009,17543
28,2010,17627
28,2011,17846
28,2012,17731
28,2013,17781
28,2014,17414
28,2015,17653
28,2016,17380
28,2017,17133
28,2018,17561
28,2019,17697
28,2020,16069
28,2021,16258
28,2022,11955
29,1996,31187
29,1997,29659
29,1998,36017
29,1999,33276
29,2000,37368
29,2001,38400
29,2002,40657
29,2003,38838
29,2004,38061
29,2005,37004
29,2006,35955
29,2007,33793
29,2008,35310
29,2009,33706
29,2010,33119
29,2011,33538
29,2012,35511
29,2013,36424
29,2014,34660
29,2015,36889
29,2016,36186
29,2017,37258
29,2018,37492
29,2019,37542
29,2020,32816
29,2021,35102
29,2022,25608
30,1996,46570
30,1997,41867
30,1998,43972
30,1999,44678
30,2000,49340
30,2001,51957
30,2002,49779
30,2003,50200
30,2004,49920
30,2005,48457
30,2006,47928
30,2007,47149
30,2008,46263
30,2009,46976
30,2010,47125
30,2011,46658
30,2012,43404
30,2013,40885
30,2014,39352
30,2015,39682
30,2016,38921
30,2017,39697
30,2018,38990
30,2019,39628
30,2020,35812
30,2021,36922
30,2022,26533
31,1996,62378
31,1997,62422
31,1998,59344
31,1999,62458
31,2000,66161
31,2001,80502
31,2002,79045
31,2003,80297
31,2004,78902
31,2005,77842
31,2006,82557
31,2007,83751
31,2008,78909
31,2009,78975
31,2010,79929
31,2011,83873
31,2012,84444
31,2013,85857
31,2014,88896
31,2015,89917
31,2016,90840
31,2017,91920
31,2018,91127
31,2019,95073
31,2020,83478
31,2021,87811
31,2022,62275
32,1996,3822
32,1997,3802
32,1998,4396
32,1999,4035
32,2000,4544
32,2001,5469
32,2002,5826
32,2003,5950
32,2004,5506
32,2005,5521
32,2006,5234
32,2007,5838
32,2008,5541
32,2009,5545
32,2010,5436
32,2011,5561
32,2012,5225
32,2013,6134
32,2014,6478
32,2015,6495
32,2016,6813
32,2017,6704
32,2018,6402
32,2019,6274
32,2020,6062
32,2021,6355
32,2022,4483
33,1996,90458
33,1997,87882
33,1998,82839
33,1999,85747
33,2000,86688
33,2001,93546
33,2002,96708
33,2003,95851
33,2004,98583
33,2005,100217
33,2006,93101
33,2007,89180
33,2008,85552
33,2009,88698
33,2010,85286
33,2011,83441
33,2012,81728
33,2013,80737
33,2014,83446
33,2015,85692
33,2016,86418
33,2017,90924
33,2018,94706
33,2019,102416
