Type;Code_Département;Nom_Département;E_0_19_ans;E_20_39_ans;E_40_59_ans;E_60_74_ans;E_75_et_plus;E_Total;F_0_19_ans;F_20_39_ans;F_40_59_ans;F_60_74_ans;F_75_et_plus;F_Total;H_0_19_ans;H_20_39_ans;H_40_59_ans;H_60_74_ans;H_75_et_plus;H_Total;Année;Code_Département_Num
Métropole + DOM;FMD;France métropolitaine et DOM;16168652;17662325;9722956;5914742;65564756;16096081;8145210;8995105;5116730;3693165;33809331;7859121;8023442;8667220;4606226;2221577;31755425;8236960;2013;
Métropole;FRM;France métropolitaine;15832562;17078048;9256053;5751652;63375971;15457656;7957254;8695874;4869836;3604524;32676801;7549313;7875308;8382174;4386217;2147128;30699170;7908343;2012;
DOM;DOM;Départements d'Outre-Mer;463590;516879;202667;92677;1865270;589457;248620;273450;108303;56979;976366;289014;214970;243429;94364;35698;888904;300443;2012;
Métropole + DOM;FMD;France métropolitaine et DOM;16296152;17594927;9458720;5844329;65241241;16047113;8205874;8969324;4978139;3661503;33653167;7838327;8090278;8625603;4480581;2182826;31588074;8208786;2012;
Métropole;FRM;France métropolitaine;15931863;17008038;9021923;5668112;63070344;15440408;8000052;8663152;4750202;3564568;32516716;7538742;7931811;8344886;4271721;2103544;30553628;7901666;2011;
DOM;DOM;Départements d'Outre-Mer;470525;509682;196088;88899;1863056;597862;253919;269280;104880;54745;975727;292903;216606;240402;91208;34154;887329;304959;2011;
Métropole + DOM;FMD;France métropolitaine et DOM;16402388;17517720;9218011;5757011;64933400;16038270;8253971;8932432;4855082;3619313;33492443;7831645;8148417;8585288;4362929;2137698;31440957;8206625;2011;
Métropole;FRM;France métropolitaine;16014053;17009559;8758932;5576099;62765235;15406592;8040407;8667036;4620165;3515694;32367285;7523983;7973646;8342523;4138767;2060405;30397950;7882609;2010;
DOM;DOM;Départements d'Outre-Mer;473916;499702;186784;83359;1847704;603943;255435;263736;99948;51337;966122;295666;218481;235966;86836;32022;881582;308277;2010;
Métropole + DOM;FMD;France métropolitaine et DOM;16487969;17509261;8945716;5659458;64612939;16010535;8295842;8930772;4720113;3567031;33333407;7819649;8192127;8578489;4225603;2092427;31279532;8190886;2010;
Métropole;FRM;France métropolitaine;16082452;17024614;8520227;5469576;62465709;15368840;8072607;8676625;4504334;3459967;32218275;7504742;8009845;8347989;4015893;2009609;30247434;7864098;2009;
DOM;DOM;Départements d'Outre-Mer;479747;489387;180961;80228;1838791;608468;257716;257524;97224;49543;960380;298373;222031;231863;83737;30685;878411;310095;2009;
